# QGIS Generated Color Map Export File
# pixel_value,r,g,b,a,class_name
INTERPOLATION:EXACT
0,29,29,30,255,shadow
1,240,234,244,255,1
2,238,230,242,255,2
3,236,226,240,255,3
4,234,222,238,255,4
5,232,218,236,255,5
6,230,213,233,255,6
7,228,209,231,255,7
8,226,205,229,255,8
9,224,201,227,255,9
10,222,197,225,255,10
11,120,120,120,255,shadow / developed
12,219,188,220,255,12
13,217,184,218,255,13
14,215,180,216,255,14
15,216,174,213,255,15
16,217,168,210,255,16
17,217,162,207,255,17
18,218,156,204,255,18
19,218,151,201,255,19
20,219,145,198,255,20
21,157,128,91,255,beach / sand / soil
22,100,23,24,255,mud / (intertidal?)
23,221,127,189,255,23
24,221,121,186,255,24
25,222,115,183,255,25
26,222,110,181,255,26
27,223,104,178,255,27
28,223,98,174,255,28
29,223,93,170,255,29
30,218,223,60,255,dead vegetation
31,188,223,113,255,marsh grass / dead vegetation
32,19,223,4,255,upland forest / grass / agriculture
33,7,145,40,255,forested wetland
34,222,66,149,255,34
35,222,61,145,255,35
36,222,56,141,255,36
37,222,50,137,255,37
38,222,45,132,255,38
39,222,40,128,255,39
40,222,34,124,255,40
41,221,29,120,255,41
42,218,26,116,255,42
43,213,24,112,255,43
44,208,22,109,255,44
45,202,20,105,255,45
46,197,18,101,255,46
47,192,16,97,255,47
48,187,14,93,255,48
49,182,12,90,255,49
50,177,10,86,255,50
51,11,0,172,255,deep water
52,86,124,213,255,soft bottom
53,84,97,173,255,soft bottom
54,29,140,157,255,seagrass
55,93,128,138,255,turbid water
56,255,0,255,255,56
57,255,0,255,255,57
58,255,0,255,255,58
59,255,0,255,255,59
60,255,0,255,255,60
61,255,0,255,255,61
62,255,0,255,255,62
63,255,0,255,255,63
64,255,0,255,255,64
65,255,0,255,255,65
66,255,0,255,255,66
